Score Diff	Team 1	Team 2	IsP5	W	L	W/L%	Seed	FG%	2P%	3P%	FT%	FGA/G	3PA/G	FTA/G	ORB/G	DRB/G	TRB/G	AST/G	STL/G	BLK/G	TOV/G	PF/G	PTS/G	2PTA%	3PTA%	ORB%	SHOTS/G	AST/TO%	FG Rank	FGA Rank	FG% Rank	2P Rank	2PA Rank	2P% Rank	3P Rank	3PA Rank	3P% Rank	FT Rank	FTA Rank	FT% Rank	ORB Rank	DRB Rank	TRB Rank	AST Rank	STL Rank	BLK Rank	TOV Rank	PF Rank	PTS Rank	PTS/G Rank	OPP FG%	OPP 2P%	OPP 3P%	OPP FT%	OPP FGA/G	OPP 3PA/G	OPP FTA/G	OPP ORB/G	OPP DRB/G	OPP TRB/G	OPP AST/G	OPP STL/G	OPP BLK/G	OPP TOV/G	OPP PF/G	OPP PTS/G	OPP 2PTA%	OPP 3PTA%	OPP ORB%	OPP SHOTS/G	OPP AST/TO%	OPP FG Rank	OPP FGA Rank	OPP FG% Rank	OPP 2P Rank	OPP 2PA Rank	OPP 2P% Rank	OPP 3P Rank	OPP 3PA Rank	OPP 3P% Rank	OPP FT Rank	OPP FTA Rank	OPP FT% Rank	OPP ORB Rank	OPP DRB Rank	OPP TRB Rank	OPP AST Rank	OPP STL Rank	OPP BLK Rank	OPP TOV Rank	OPP PF Rank	OPP PTS Rank	OPP PTS/G Rank	DIFF FG%	DIFF 2P%	DIFF 3P%	DIFF FT%	DIFF FGA/G	DIFF 3PA/G	DIFF FTA/G	DIFF ORB/G	DIFF DRB/G	DIFF TRB/G	DIFF AST/G	DIFF STL/G	DIFF BLK/G	DIFF TOV/G	DIFF PF/G	DIFF PTS/G	DIFF 2PTA%	DIFF 3PTA%	DIFF ORB%	DIFF SHOTS/G	DIFF AST/TO%	DIFF FG Rank	DIFF FGA Rank	DIFF FG% Rank	DIFF 2P Rank	DIFF 2PA Rank	DIFF 2P% Rank	DIFF 3P Rank	DIFF 3PA Rank	DIFF 3P% Rank	DIFF FT Rank	DIFF FTA Rank	DIFF FT% Rank	DIFF ORB Rank	DIFF DRB Rank	DIFF TRB Rank	DIFF AST Rank	DIFF STL Rank	DIFF BLK Rank	DIFF TOV Rank	DIFF PF Rank	DIFF PTS Rank	DIFF PTS/G Rank	SRS	SRS Rank	SOS	SOS Rank	ORtg	ORtg Rank	DRtg	DRtg Rank	Height (in.)	Years Exp
-10	18 LIU Brooklyn	18 Radford	0.500	0.242	0.767	0.233	0.648	0.540	0.662	0.540	0.444	0.593	0.687	0.611	0.381	0.738	0.584	0.552	0.510	0.641	0.803	0.688	0.673	0.319	0.679	0.237	0.593	0.383	0.501	0.505	0.405	0.456	0.601	0.302	0.439	0.415	0.553	0.355	0.332	0.567	0.668	0.332	0.477	0.474	0.488	0.258	0.669	0.658	0.465	0.212	0.561	0.507	0.561	0.231	0.821	0.540	0.744	0.650	0.808	0.867	0.583	0.771	0.545	0.557	0.697	0.784	0.702	0.298	0.546	0.821	0.478	0.656	0.717	0.464	0.813	0.867	0.417	0.302	0.309	0.358	0.721	0.803	0.267	0.755	0.684	0.737	0.566	0.728	0.569	0.497	0.369	0.667	0.885	0.476	0.608	0.476	0.540	0.250	0.661	0.361	0.225	0.511	0.294	0.575	0.454	0.630	0.623	0.570	0.346	0.286	0.714	0.297	0.250	0.438	0.400	0.386	0.489	0.313	0.359	0.452	0.612	0.575	0.638	0.292	0.231	0.711	0.497	0.341	0.351	0.499	0.349	0.319	0.598	0.634	0.379	0.140	0.171	0.879	0.287	0.668	0.345	0.663	0.556	0.544	0.624	0.735
7	18 St. Bonaventure	18 UCLA	0.000	0.485	0.500	0.495	0.648	0.427	0.384	0.427	0.622	0.310	0.322	0.546	0.479	0.251	0.308	0.422	0.590	0.404	0.512	0.645	0.384	0.587	0.413	0.494	0.310	0.416	0.683	0.621	0.588	0.453	0.385	0.701	0.678	0.739	0.501	0.383	0.421	0.354	0.487	0.704	0.656	0.608	0.234	0.606	0.490	0.678	0.630	0.579	0.598	0.684	0.598	0.524	0.279	0.547	0.651	0.432	0.469	0.516	0.491	0.384	0.749	0.739	0.575	0.400	0.342	0.658	0.491	0.279	0.217	0.286	0.317	0.511	0.323	0.226	0.702	0.422	0.512	0.288	0.713	0.691	0.647	0.535	0.462	0.502	0.542	0.345	0.904	0.074	0.412	0.405	0.335	0.381	0.301	0.381	0.534	0.500	0.400	0.399	0.442	0.361	0.323	0.522	0.703	0.340	0.258	0.617	0.412	0.656	0.344	0.496	0.500	0.656	0.706	0.652	0.567	0.630	0.618	0.527	0.676	0.637	0.648	0.314	0.348	0.370	0.519	0.664	0.599	0.589	0.431	0.314	0.743	0.623	0.610	0.661	0.225	0.730	0.299	0.604	0.379	0.617	0.493	0.356	0.125	0.588
18	18 Texas Southern	18 North Carolina Central	0.500	0.242	0.767	0.233	0.648	0.412	0.440	0.412	0.371	0.659	0.658	0.796	0.514	0.540	0.532	0.462	0.612	0.468	0.539	0.482	0.692	0.371	0.629	0.422	0.659	0.432	0.376	0.169	0.624	0.377	0.341	0.585	0.347	0.272	0.494	0.179	0.171	0.728	0.452	0.302	0.371	0.544	0.244	0.469	0.523	0.524	0.249	0.257	0.672	0.557	0.672	0.414	0.765	0.696	0.657	0.691	0.938	0.977	0.665	0.722	0.473	0.632	0.921	0.855	0.482	0.518	0.509	0.765	0.462	0.835	0.871	0.631	0.737	0.794	0.506	0.792	0.715	0.854	0.675	0.767	0.463	0.908	0.930	0.979	0.735	0.795	0.530	0.251	0.019	0.885	0.967	0.323	0.422	0.323	0.378	0.338	0.550	0.592	0.308	0.268	0.177	0.456	0.569	0.512	0.383	0.229	0.294	0.434	0.566	0.437	0.338	0.491	0.233	0.140	0.520	0.317	0.250	0.578	0.255	0.257	0.325	0.216	0.158	0.695	0.290	0.178	0.139	0.433	0.160	0.459	0.657	0.744	0.149	0.119	0.392	0.513	0.540	0.487	0.428	0.556	0.696	0.692	0.500	0.500
4	18 Syracuse	18 Arizona State	0.500	0.364	0.700	0.319	0.648	0.230	0.226	0.230	0.526	0.195	0.242	0.322	0.630	0.453	0.546	0.277	0.501	0.621	0.732	0.345	0.069	0.634	0.366	0.550	0.195	0.152	0.742	0.458	0.877	0.408	0.242	0.911	0.811	0.723	0.867	0.479	0.501	0.477	0.199	0.306	0.237	0.751	0.303	0.305	0.921	0.513	0.730	0.988	0.359	0.344	0.359	0.518	0.375	0.620	0.454	0.413	0.349	0.425	0.575	0.660	0.408	0.397	0.257	0.234	0.314	0.686	0.537	0.375	0.622	0.378	0.630	0.255	0.347	0.502	0.237	0.626	0.647	0.307	0.548	0.541	0.577	0.613	0.571	0.626	0.591	0.907	0.544	0.494	0.500	0.459	0.179	0.408	0.413	0.408	0.455	0.348	0.301	0.412	0.578	0.598	0.572	0.358	0.496	0.672	0.740	0.574	0.234	0.700	0.300	0.512	0.348	0.139	0.680	0.408	0.876	0.588	0.367	0.962	0.628	0.549	0.847	0.472	0.483	0.482	0.313	0.395	0.292	0.639	0.126	0.360	0.751	0.483	0.626	0.981	0.258	0.697	0.525	0.460	0.130	0.969	0.458	0.308	1.000	0.235
-20	18 Virginia	18 UMBC	1.000	0.576	0.367	0.611	0.048	0.567	0.555	0.567	0.874	0.295	0.238	0.247	0.390	0.403	0.356	0.387	0.406	0.569	0.218	0.348	0.334	0.673	0.327	0.363	0.295	0.638	0.768	0.826	0.382	0.374	0.446	0.416	0.772	0.850	0.529	0.621	0.757	0.058	0.715	0.771	0.821	0.746	0.593	0.290	0.171	0.223	0.872	0.694	0.296	0.231	0.296	0.744	0.335	0.465	0.385	0.339	0.276	0.334	0.201	0.024	0.450	0.406	0.195	0.132	0.469	0.531	0.473	0.335	0.344	0.131	0.126	0.239	0.218	0.270	0.196	0.148	0.244	0.274	0.331	0.260	0.898	0.262	0.139	0.124	0.148	0.013	0.418	0.706	0.920	0.152	0.434	0.663	0.714	0.663	0.631	0.445	0.389	0.419	0.429	0.609	0.489	0.660	0.696	0.609	0.411	0.619	0.625	0.648	0.352	0.410	0.445	0.749	0.838	0.854	0.602	0.654	0.628	0.667	0.900	0.856	0.672	0.690	0.797	0.051	0.801	0.892	0.930	0.915	0.851	0.426	0.176	0.097	0.872	0.670	0.754	0.262	0.804	0.183	0.545	0.401	0.326	0.417	0.750	0.412
-10	18 Creighton	18 Kansas State	0.000	0.333	0.633	0.349	0.600	0.631	0.748	0.631	0.563	0.773	0.877	0.350	0.438	0.879	0.718	0.718	0.263	0.423	0.551	0.279	0.819	0.200	0.800	0.249	0.773	0.663	0.513	0.522	0.403	0.526	0.754	0.403	0.289	0.300	0.288	0.767	0.800	0.429	0.620	0.350	0.435	0.451	0.833	0.683	0.313	0.046	0.530	0.121	0.650	0.598	0.650	0.393	0.886	0.710	0.380	0.332	0.734	0.638	0.618	0.599	0.574	0.366	0.345	0.755	0.554	0.446	0.243	0.886	0.677	0.632	0.566	0.607	0.692	0.693	0.583	0.505	0.498	0.519	0.074	0.095	0.382	0.196	0.473	0.360	0.491	0.419	0.557	0.868	0.867	0.467	0.831	0.476	0.607	0.476	0.554	0.317	0.697	0.506	0.473	0.671	0.558	0.686	0.305	0.430	0.660	0.452	0.533	0.277	0.723	0.434	0.317	0.530	0.419	0.473	0.407	0.430	0.555	0.409	0.399	0.400	0.395	0.933	0.918	0.564	0.784	0.476	0.570	0.533	0.748	0.563	0.165	0.026	0.526	0.119	0.354	0.626	0.404	0.554	0.613	0.356	0.591	0.562	0.500	0.618
5	18 Kentucky	18 Davidson	1.000	0.455	0.600	0.414	0.343	0.433	0.282	0.433	0.186	0.472	0.000	1.000	0.829	0.527	0.725	0.286	0.544	0.717	0.894	0.775	0.505	1.000	0.000	0.711	0.472	0.000	0.455	0.276	0.543	0.037	0.000	0.719	0.963	0.947	0.685	0.001	0.000	0.846	0.025	0.365	0.125	0.675	0.262	0.034	1.000	0.963	0.416	0.490	0.424	0.471	0.424	0.487	0.723	0.728	0.671	0.800	0.406	0.679	0.505	0.688	0.683	0.587	0.956	0.616	0.441	0.559	0.931	0.723	0.379	0.755	0.831	0.253	0.768	0.872	0.377	0.588	0.668	0.212	0.856	0.866	0.518	0.996	0.566	0.875	0.700	0.860	0.895	0.219	0.000	0.827	0.644	0.497	0.369	0.497	0.179	0.250	0.069	0.740	0.496	0.618	0.536	0.406	0.522	0.637	0.649	0.466	0.329	0.888	0.112	0.448	0.250	0.187	0.319	0.213	0.686	0.101	0.000	0.748	0.740	0.662	0.795	0.000	0.000	0.734	0.000	0.429	0.072	0.527	0.131	0.000	0.962	1.000	0.264	0.434	0.406	0.579	0.664	0.386	0.262	0.680	0.514	0.389	0.624	0.000
-21	18 Arizona	18 Buffalo	1.000	0.394	0.600	0.392	0.305	0.641	0.607	0.641	0.719	0.131	0.202	0.554	0.356	0.446	0.365	0.405	0.348	0.496	0.548	0.248	0.385	0.634	0.366	0.330	0.131	0.381	0.634	0.698	0.450	0.480	0.547	0.457	0.799	0.858	0.521	0.340	0.439	0.193	0.677	0.611	0.655	0.615	0.756	0.510	0.418	0.281	0.633	0.560	0.635	0.561	0.635	0.450	0.467	0.618	0.321	0.271	0.155	0.214	0.585	0.586	0.256	0.395	0.659	0.421	0.397	0.603	0.495	0.467	0.626	0.433	0.435	0.584	0.405	0.467	0.523	0.634	0.515	0.784	0.302	0.282	0.472	0.233	0.048	0.078	0.593	0.561	0.142	0.756	0.419	0.388	0.357	0.493	0.533	0.493	0.656	0.230	0.276	0.724	0.445	0.725	0.579	0.454	0.389	0.628	0.628	0.204	0.392	0.661	0.339	0.383	0.230	0.329	0.595	0.629	0.446	0.592	0.568	0.484	0.617	0.702	0.380	0.541	0.598	0.373	0.796	0.865	0.869	0.561	0.614	0.713	0.294	0.395	0.621	0.637	0.435	0.550	0.618	0.420	0.478	0.544	0.600	0.572	0.625	0.500
-2	18 Miami	18 Loyola-Chicago	1.000	0.183	0.767	0.212	0.409	0.251	0.311	0.251	0.308	0.762	0.661	0.495	0.739	0.393	0.574	0.349	0.482	0.612	0.477	0.673	0.550	0.405	0.595	0.696	0.762	0.374	0.802	0.645	0.626	0.645	0.614	0.649	0.621	0.520	0.638	0.707	0.653	0.781	0.330	0.927	0.763	0.894	0.641	0.278	0.101	0.482	0.855	0.391	0.698	0.666	0.698	0.482	0.602	0.574	0.638	0.533	0.745	0.758	0.628	0.352	0.517	0.530	0.533	0.703	0.524	0.476	0.454	0.602	0.533	0.292	0.208	0.650	0.387	0.327	0.689	0.287	0.233	0.533	0.494	0.499	0.554	0.413	0.384	0.381	0.436	0.110	0.384	0.705	0.783	0.274	0.638	0.204	0.262	0.204	0.287	0.538	0.623	0.372	0.591	0.283	0.363	0.386	0.617	0.617	0.448	0.672	0.291	0.432	0.568	0.649	0.538	0.392	0.760	0.722	0.510	0.699	0.693	0.502	0.726	0.678	0.589	0.638	0.596	0.675	0.500	0.823	0.734	0.816	0.821	0.440	0.135	0.314	0.795	0.382	0.334	0.635	0.576	0.456	0.405	0.578	0.686	0.619	0.500	0.324
