Score Diff      Team 1  Team 2  W       L       FG%     3P%     FT%     FTA/G   PF/G    2P Rank 2P% Rank        DRB Rank        STL Rank        PF Rank OPP DRB/G       OPP AST/G       OPP PTS/G       OPP 2PTA%       OPP 2P Rank     OPP 3P Rank     OPP 3PA Rank    OPP FT Rank     OPP FT% Rank    OPP ORB Rank    OPP DRB Rank    OPP BLK Rank    OPP PTS Rank    OPP PTS/G Rank  DIFF TOV Rank   DIFF PTS/G Rank SRS     ORtg    Years Exp
2	18 Loyola-Chicago	18 Miami	0.642	0.395	0.714	0.714	0.702	0.472	0.342	0.349	0.353	0.191	0.357	0.511	0.332	0.368	0.361	0.451	0.626	0.716	0.772	0.501	0.427	0.596	0.625	0.604	0.716	0.421	0.869	0.612	0.467	0.513	0.605
26	18 Tennessee	18 Wright State	0.500	0.474	0.495	0.495	0.564	0.531	0.756	0.491	0.663	0.356	0.422	0.879	0.461	0.531	0.453	0.565	0.418	0.343	0.494	0.865	0.430	0.901	0.542	0.437	0.487	0.401	0.586	0.584	0.699	0.516	0.369
-26	18 Wright State	18 Tennessee	0.500	0.526	0.505	0.505	0.436	0.469	0.244	0.509	0.337	0.644	0.578	0.121	0.539	0.469	0.547	0.435	0.582	0.657	0.506	0.135	0.570	0.099	0.458	0.563	0.513	0.599	0.414	0.416	0.301	0.484	0.631
4	18 Nevada	18 Texas	0.691	0.316	0.653	0.653	0.750	0.610	0.564	0.397	0.443	0.346	0.391	0.754	0.527	0.549	0.613	0.390	0.623	0.720	0.742	0.796	0.468	0.605	0.623	0.542	0.763	0.663	0.526	0.214	0.507	0.759	0.763
-4	18 Texas	18 Nevada	0.309	0.684	0.347	0.347	0.250	0.390	0.436	0.603	0.557	0.654	0.609	0.246	0.473	0.451	0.387	0.610	0.377	0.280	0.258	0.204	0.532	0.395	0.377	0.458	0.237	0.337	0.474	0.786	0.493	0.241	0.237
15	18 Cincinnati	18 Georgia State	0.643	0.342	0.398	0.398	0.616	0.549	0.379	0.226	0.671	0.175	0.506	0.467	0.176	0.092	0.065	0.733	0.399	0.182	0.323	0.292	0.358	0.389	0.249	0.522	0.178	0.140	0.568	0.816	0.739	0.577	0.369
-15	18 Georgia State	18 Cincinnati	0.357	0.658	0.602	0.602	0.384	0.451	0.621	0.774	0.329	0.825	0.494	0.533	0.824	0.908	0.935	0.267	0.601	0.818	0.677	0.708	0.642	0.611	0.751	0.478	0.822	0.860	0.432	0.184	0.261	0.423	0.631
-7	18 UMBC	18 Kansas State	0.547	0.474	0.398	0.398	0.218	0.470	0.359	0.817	0.787	0.371	0.513	0.303	0.686	0.525	0.539	0.473	0.558	0.604	0.532	0.210	0.093	0.353	0.597	0.540	0.487	0.539	0.539	0.428	0.299	0.482	0.684
7	18 Kansas State	18 UMBC	0.453	0.526	0.602	0.602	0.782	0.530	0.641	0.183	0.213	0.629	0.487	0.697	0.314	0.475	0.461	0.527	0.442	0.396	0.468	0.790	0.907	0.647	0.403	0.460	0.513	0.461	0.461	0.572	0.701	0.518	0.316
20	18 Kentucky	18 Buffalo	0.453	0.553	0.495	0.495	0.497	0.761	0.363	0.477	0.674	0.478	0.595	0.477	0.237	0.598	0.343	0.201	0.366	0.750	0.727	0.384	0.147	0.539	0.244	0.494	0.451	0.270	0.475	0.716	0.625	0.415	0.237
-20	18 Buffalo	18 Kentucky	0.547	0.447	0.505	0.505	0.503	0.239	0.637	0.523	0.326	0.522	0.405	0.523	0.763	0.402	0.657	0.799	0.634	0.250	0.273	0.616	0.853	0.461	0.756	0.506	0.549	0.730	0.525	0.284	0.375	0.585	0.763
