School	Conf	IsP5	W	L	W/L%	Seed	FG%	2P%	3P%	FT%	FGA/G	3PA/G	FTA/G	ORB/G	DRB/G	TRB/G	AST/G	STL/G	BLK/G	TOV/G	PF/G	PTS/G	2PTA%	3PTA%	ORB%	SHOTS/G	AST/TO%	FG Rank	FGA Rank	FG% Rank	2P Rank	2PA Rank	2P% Rank	3P Rank	3PA Rank	3P% Rank	FT Rank	FTA Rank	FT% Rank	ORB Rank	DRB Rank	TRB Rank	AST Rank	STL Rank	BLK Rank	TOV Rank	PF Rank	PTS Rank	PTS/G Rank	OPP FG%	OPP 2P%	OPP 3P%	OPP FT%	OPP FGA/G	OPP 3PA/G	OPP FTA/G	OPP ORB/G	OPP DRB/G	OPP TRB/G	OPP AST/G	OPP STL/G	OPP BLK/G	OPP TOV/G	OPP PF/G	OPP PTS/G	OPP 2PTA%	OPP 3PTA%	OPP ORB%	OPP SHOTS/G	OPP AST/TO%	OPP FG Rank	OPP FGA Rank	OPP FG% Rank	OPP 2P Rank	OPP 2PA Rank	OPP 2P% Rank	OPP 3P Rank	OPP 3PA Rank	OPP 3P% Rank	OPP FT Rank	OPP FTA Rank	OPP FT% Rank	OPP ORB Rank	OPP DRB Rank	OPP TRB Rank	OPP AST Rank	OPP STL Rank	OPP BLK Rank	OPP TOV Rank	OPP PF Rank	OPP PTS Rank	OPP PTS/G Rank	DIFF FG%	DIFF 2P%	DIFF 3P%	DIFF FT%	DIFF FGA/G	DIFF 3PA/G	DIFF FTA/G	DIFF ORB/G	DIFF DRB/G	DIFF TRB/G	DIFF AST/G	DIFF STL/G	DIFF BLK/G	DIFF TOV/G	DIFF PF/G	DIFF PTS/G	DIFF 2PTA%	DIFF 3PTA%	DIFF ORB%	DIFF SHOTS/G	DIFF AST/TO%	DIFF FG Rank	DIFF FGA Rank	DIFF FG% Rank	DIFF 2P Rank	DIFF 2PA Rank	DIFF 2P% Rank	DIFF 3P Rank	DIFF 3PA Rank	DIFF 3P% Rank	DIFF FT Rank	DIFF FTA Rank	DIFF FT% Rank	DIFF ORB Rank	DIFF DRB Rank	DIFF TRB Rank	DIFF AST Rank	DIFF STL Rank	DIFF BLK Rank	DIFF TOV Rank	DIFF PF Rank	DIFF PTS Rank	DIFF PTS/G Rank	SRS	SRS Rank	SOS	SOS Rank	ORtg	ORtg Rank	DRtg	DRtg Rank	Height (in.)	Years Exp
Minnesota	Big Ten	1	24	9	0.727	18	0.435	0.475	0.435	0.711	59.912	17.941	23.706	11.118	28.324	39.441	14.912	5.706	6.676	11.559	16.971	75.200	0.701	0.299	0.282	59.912	1.290	0.328	0.194	0.658	0.162	0.066	0.769	0.732	0.735	0.610	0.134	0.105	0.396	0.293	0.074	0.085	0.191	0.553	0.006	0.236	0.285	0.302	0.348	0.400	0.445	0.400	0.682	63.000	20.941	18.412	12.206	26.382	38.588	13.529	5.647	3.647	12.618	20.206	69.400	0.668	0.332	0.316	63.000	1.072	0.621	0.906	0.046	0.775	0.943	0.066	0.274	0.601	0.043	0.285	0.368	0.157	0.952	0.900	0.946	0.718	0.396	0.769	0.493	0.154	0.513	0.299	0.035	0.030	0.035	0.029	-3.088	-3.000	5.294	-1.088	1.941	0.853	1.382	0.059	3.029	-1.059	-3.235	5.800	0.033	-0.033	-0.034	-3.088	0.218	-0.293	-0.712	0.613	-0.613	-0.877	0.704	0.459	0.134	0.567	-0.151	-0.262	0.239	-0.658	-0.826	-0.860	-0.527	0.157	-0.764	-0.256	0.131	-0.211	0.048	14.55	0.097	8.82	0.108	104.6	0.484	96.6	0.120	78	1.3
Notre Dame	ACC	1	25	9	0.735	19	0.458	0.509	0.458	0.800	59.417	24.139	16.972	9.278	24.389	33.667	15.722	7.083	3.722	9.472	14.806	77.300	0.594	0.406	0.276	59.417	1.660	0.080	0.077	0.276	0.285	0.313	0.362	0.046	0.060	0.114	0.399	0.741	0.003	0.561	0.291	0.350	0.063	0.103	0.242	0.017	0.088	0.105	0.225	0.432	0.482	0.432	0.736	58.833	20.528	15.694	10.750	24.750	35.500	12.972	5.222	4.056	12.667	15.972	69.300	0.651	0.349	0.303	58.833	1.024	0.852	0.880	0.402	0.883	0.900	0.382	0.615	0.732	0.336	0.239	0.151	0.929	0.852	0.877	0.897	0.761	0.348	0.972	0.345	0.749	0.744	0.282	0.026	0.027	0.026	0.064	0.583	3.611	1.278	-1.472	-0.361	-1.833	2.750	1.861	-0.333	-3.194	-1.167	8.000	-0.057	0.057	-0.027	0.583	0.636	-0.772	-0.803	-0.125	-0.598	-0.587	-0.020	-0.570	-0.672	-0.222	0.160	0.590	-0.926	-0.291	-0.587	-0.547	-0.698	-0.245	-0.729	-0.328	-0.661	-0.638	-0.057	17.80	0.068	9.78	0.077	113.8	0.057	102.0	0.456	77	2.0
Iowa State	Big 12	1	23	10	0.697	20	0.472	0.518	0.472	0.700	62.457	24.571	17.257	9.086	25.743	34.829	15.800	7.771	3.543	10.143	15.914	80.800	0.607	0.393	0.261	62.457	1.558	0.037	0.048	0.123	0.140	0.202	0.248	0.031	0.071	0.043	0.732	0.749	0.510	0.652	0.194	0.316	0.094	0.057	0.325	0.063	0.182	0.074	0.080	0.428	0.475	0.428	0.704	62.229	22.314	15.943	11.886	26.371	38.257	13.829	4.771	3.457	14.029	16.514	72.300	0.641	0.359	0.311	62.229	0.986	0.895	0.940	0.348	0.872	0.917	0.302	0.806	0.863	0.462	0.137	0.120	0.513	0.954	0.946	0.969	0.852	0.103	0.744	0.134	0.726	0.809	0.521	0.044	0.043	0.044	-0.004	0.229	2.257	1.314	-2.800	-0.629	-3.429	1.971	3.000	0.086	-3.886	-0.600	8.500	-0.035	0.035	-0.050	0.229	0.572	-0.858	-0.892	-0.225	-0.732	-0.715	-0.054	-0.775	-0.792	-0.419	0.595	0.630	-0.003	-0.302	-0.752	-0.652	-0.758	-0.046	-0.419	-0.071	-0.544	-0.735	-0.442	20.51	0.040	11.94	0.014	112.5	0.083	100.6	0.362	76	2.5
SMU	American	0	30	4	0.882	21	0.473	0.511	0.473	0.697	55.257	20.143	19.886	11.886	26.257	38.143	16.171	5.714	3.343	10.771	14.457	74.300	0.635	0.365	0.312	55.257	1.501	0.228	0.393	0.117	0.356	0.422	0.330	0.205	0.459	0.014	0.433	0.405	0.541	0.123	0.128	0.094	0.063	0.479	0.402	0.137	0.034	0.239	0.430	0.386	0.441	0.386	0.692	55.086	25.086	13.543	9.400	20.171	29.571	11.857	4.914	3.000	11.686	18.086	60.000	0.545	0.455	0.318	55.086	1.015	0.114	0.632	0.020	0.028	0.128	0.051	0.906	0.972	0.125	0.011	0.020	0.308	0.444	0.046	0.120	0.359	0.154	0.430	0.624	0.433	0.068	0.009	0.087	0.070	0.087	0.005	0.171	-4.943	6.343	2.486	6.086	8.571	4.314	0.800	0.343	-0.914	-3.629	14.300	0.091	-0.091	-0.006	0.171	0.487	0.114	-0.239	0.097	0.328	0.293	0.279	-0.701	-0.513	-0.111	0.422	0.385	0.234	-0.322	0.083	-0.026	-0.296	0.325	-0.028	-0.487	-0.399	0.171	0.422	18.71	0.060	4.45	0.231	116.6	0.020	94.2	0.048	78	1.9
Cincinnati	American	0	29	5	0.853	22	0.458	0.521	0.458	0.686	58.778	21.222	19.111	12.139	24.750	36.889	15.472	7.250	4.806	10.028	15.722	74.300	0.639	0.361	0.329	58.778	1.543	0.103	0.100	0.279	0.097	0.148	0.199	0.319	0.256	0.573	0.510	0.427	0.658	0.057	0.236	0.111	0.088	0.088	0.060	0.083	0.208	0.185	0.427	0.389	0.415	0.389	0.736	54.833	20.306	15.972	10.222	22.056	32.278	11.250	3.611	3.139	13.194	16.833	61.300	0.630	0.370	0.317	54.833	0.853	0.202	0.718	0.026	0.140	0.635	0.017	0.632	0.695	0.433	0.256	0.171	0.923	0.749	0.342	0.547	0.293	0.006	0.595	0.219	0.584	0.182	0.023	0.069	0.106	0.069	-0.050	3.944	0.917	3.139	1.917	2.694	4.611	4.222	3.639	1.667	-3.167	-1.111	13.000	0.009	-0.009	0.012	3.944	0.690	-0.100	-0.618	0.254	-0.043	-0.487	0.182	-0.313	-0.439	0.140	0.254	0.256	-0.265	-0.692	-0.105	-0.436	-0.205	0.083	-0.536	-0.137	-0.376	0.003	0.405	18.43	0.063	5.49	0.217	113.3	0.063	93.6	0.031	78	1.7
Maryland	Big Ten	1	24	8	0.750	23	0.449	0.512	0.449	0.699	55.758	22.939	22.182	10.636	24.909	35.545	14.303	5.455	4.667	12.909	18.576	73.900	0.589	0.411	0.299	55.758	1.108	0.524	0.644	0.396	0.687	0.815	0.308	0.271	0.276	0.370	0.288	0.293	0.516	0.447	0.496	0.473	0.325	0.692	0.134	0.533	0.487	0.422	0.464	0.416	0.454	0.416	0.703	58.091	19.030	18.970	11.606	23.545	35.152	11.182	6.121	3.576	12.667	19.576	68.100	0.672	0.328	0.330	58.091	0.883	0.379	0.607	0.165	0.476	0.741	0.120	0.185	0.219	0.319	0.382	0.368	0.484	0.835	0.256	0.538	0.100	0.561	0.695	0.553	0.353	0.251	0.199	0.033	0.058	0.033	-0.004	-2.333	3.909	3.212	-0.970	1.364	0.394	3.121	-0.667	1.091	0.242	-1.000	5.800	-0.084	0.084	-0.031	-2.333	0.225	0.145	0.037	0.231	0.211	0.074	0.188	0.085	0.057	0.051	-0.094	-0.074	0.031	-0.387	0.239	-0.066	0.225	0.131	-0.561	-0.020	0.134	0.171	0.265	12.79	0.131	8.29	0.140	108.1	0.271	99.6	0.259	77	1.1
Creighton	Big East	0	25	9	0.735	24	0.504	0.565	0.504	0.682	61.057	21.886	16.914	8.257	26.686	34.943	17.086	6.086	2.914	12.429	16.629	81.800	0.642	0.358	0.236	61.057	1.375	0.017	0.083	0.006	0.031	0.125	0.026	0.128	0.248	0.046	0.801	0.792	0.709	0.818	0.103	0.311	0.028	0.396	0.538	0.613	0.311	0.051	0.057	0.437	0.500	0.437	0.689	60.971	22.457	17.571	10.829	25.086	35.914	12.829	6.686	2.943	13.971	17.371	72.800	0.632	0.368	0.302	60.971	0.918	0.895	0.892	0.499	0.917	0.866	0.621	0.718	0.875	0.202	0.265	0.319	0.259	0.812	0.835	0.849	0.630	0.875	0.387	0.142	0.567	0.840	0.561	0.067	0.065	0.067	-0.007	0.086	-0.571	-0.657	-2.571	1.600	-0.971	4.257	-0.600	-0.029	-1.543	-0.743	9.000	0.010	-0.010	-0.065	0.086	0.457	-0.877	-0.809	-0.493	-0.886	-0.741	-0.595	-0.590	-0.627	-0.157	0.536	0.473	0.450	0.006	-0.732	-0.538	-0.601	-0.479	0.151	0.470	-0.256	-0.789	-0.504	17.27	0.077	8.95	0.100	112.3	0.097	100.0	0.299	77	1.7
Saint Mary's	WCC	0	28	4	0.875	25	0.496	0.569	0.496	0.745	52.853	21.882	14.676	9.529	25.912	35.441	16.559	4.206	3.235	10.735	15.059	72.000	0.586	0.414	0.269	52.853	1.542	0.311	0.738	0.017	0.476	0.880	0.020	0.171	0.316	0.057	0.892	0.952	0.131	0.607	0.285	0.385	0.074	0.952	0.479	0.100	0.043	0.402	0.581	0.412	0.454	0.412	0.691	52.706	14.588	14.000	7.206	19.353	26.559	8.735	5.588	2.412	9.353	16.118	57.500	0.723	0.277	0.271	52.706	0.934	0.088	0.259	0.114	0.516	0.761	0.131	0.003	0.014	0.023	0.014	0.023	0.291	0.014	0.009	0.006	0.003	0.370	0.068	0.983	0.855	0.020	0.006	0.084	0.115	0.084	0.054	0.147	7.294	0.676	2.324	6.559	8.882	7.824	-1.382	0.824	1.382	-1.059	14.500	-0.137	0.137	-0.002	0.147	0.609	0.222	0.479	-0.097	-0.040	0.120	-0.111	0.168	0.302	0.034	0.877	0.929	-0.160	0.593	0.276	0.379	0.071	0.581	0.410	-0.883	-0.812	0.382	0.575	16.75	0.080	2.19	0.302	117.6	0.014	93.8	0.034	78	2.0
South Carolina	SEC	1	22	10	0.688	26	0.421	0.462	0.421	0.699	59.378	19.811	23.622	12.541	23.838	36.378	12.649	7.784	3.838	12.973	20.297	73.200	0.666	0.334	0.345	59.378	0.975	0.205	0.043	0.843	0.165	0.040	0.852	0.444	0.362	0.681	0.057	0.023	0.519	0.020	0.276	0.080	0.342	0.034	0.188	0.877	0.977	0.145	0.510	0.401	0.453	0.401	0.724	53.216	18.568	23.459	10.324	24.919	35.243	9.811	6.000	3.838	17.081	21.000	65.200	0.651	0.349	0.293	53.216	0.574	0.325	0.701	0.051	0.456	0.726	0.108	0.148	0.493	0.026	0.983	0.972	0.812	0.826	0.943	0.934	0.074	0.803	0.943	0.006	0.017	0.613	0.091	0.020	0.009	0.020	-0.025	6.162	1.243	0.162	2.216	-1.081	1.135	2.838	1.784	0.000	-4.108	-0.703	8.000	0.015	-0.015	0.052	6.162	0.401	-0.120	-0.658	0.792	-0.291	-0.687	0.744	0.296	-0.131	0.655	-0.926	-0.949	-0.293	-0.806	-0.667	-0.855	0.268	-0.769	-0.755	0.872	0.960	-0.467	0.419	17.52	0.074	10.16	0.068	102.9	0.567	91.8	0.011	77	1.4
Michigan	Big Ten	1	24	11	0.686	27	0.483	0.563	0.483	0.779	54.632	24.658	16.421	7.368	21.868	29.237	13.868	5.789	2.842	9.158	15.026	75.000	0.549	0.451	0.252	54.632	1.514	0.054	0.123	0.054	0.302	0.698	0.031	0.017	0.023	0.103	0.425	0.678	0.020	0.852	0.462	0.684	0.137	0.348	0.493	0.043	0.254	0.060	0.365	0.465	0.500	0.465	0.684	54.211	15.605	14.737	9.158	22.684	31.842	11.526	4.263	2.500	12.579	17.105	66.400	0.712	0.288	0.288	54.211	0.916	0.937	0.835	0.863	0.969	0.966	0.638	0.305	0.134	0.892	0.103	0.140	0.191	0.598	0.752	0.732	0.538	0.074	0.239	0.202	0.333	0.801	0.128	0.018	0.063	0.018	0.095	0.421	9.053	1.684	-1.789	-0.816	-2.605	2.342	1.526	0.342	-3.421	-2.079	8.600	-0.163	0.163	-0.036	0.421	0.598	-0.883	-0.712	-0.809	-0.667	-0.268	-0.607	-0.288	-0.111	-0.789	0.322	0.538	-0.171	0.254	-0.291	-0.048	-0.402	0.274	0.254	-0.160	-0.080	-0.741	0.236	18.80	0.057	10.17	0.066	116.5	0.023	103.1	0.527	78	2.0
Dayton	Atlantic 10	0	24	7	0.774	28	0.465	0.515	0.465	0.690	55.094	20.969	24.000	8.656	25.625	34.281	15.625	7.781	4.000	11.750	18.781	75.900	0.619	0.381	0.253	55.094	1.330	0.564	0.801	0.205	0.661	0.801	0.282	0.370	0.550	0.108	0.219	0.182	0.615	0.869	0.501	0.729	0.222	0.145	0.288	0.131	0.410	0.436	0.319	0.413	0.470	0.413	0.707	55.375	21.844	19.313	9.750	24.938	34.688	12.625	4.344	3.625	14.969	19.781	66.400	0.606	0.394	0.281	55.375	0.843	0.071	0.228	0.120	0.105	0.174	0.262	0.336	0.536	0.160	0.353	0.330	0.584	0.322	0.365	0.319	0.285	0.014	0.664	0.197	0.433	0.091	0.011	0.052	0.045	0.052	-0.017	-0.281	-0.875	4.688	-1.094	0.688	-0.406	3.000	3.438	0.375	-3.219	-1.000	9.500	0.014	-0.014	-0.029	-0.281	0.486	0.493	0.573	0.085	0.556	0.627	0.020	0.034	0.014	-0.051	-0.134	-0.148	0.031	0.547	0.137	0.410	-0.063	0.131	-0.376	-0.066	-0.023	0.345	0.308	12.98	0.125	4.27	0.236	108.9	0.219	95.3	0.074	77	2.2
Wisconsin	Big Ten	1	25	9	0.735	29	0.455	0.511	0.455	0.644	57.703	21.297	19.000	12.432	24.784	37.216	13.622	6.757	3.514	11.108	16.270	72.400	0.631	0.369	0.334	57.703	1.226	0.100	0.085	0.328	0.134	0.165	0.336	0.222	0.197	0.376	0.613	0.396	0.957	0.023	0.140	0.057	0.211	0.131	0.268	0.402	0.416	0.174	0.570	0.413	0.431	0.413	0.739	53.838	18.027	15.108	8.459	22.405	30.865	10.135	5.324	3.108	12.784	18.324	62.400	0.665	0.335	0.274	53.838	0.793	0.516	0.738	0.125	0.396	0.832	0.028	0.632	0.396	0.880	0.208	0.131	0.946	0.330	0.558	0.453	0.128	0.459	0.647	0.242	0.191	0.410	0.037	0.042	0.080	0.042	-0.095	3.865	3.270	3.892	3.973	2.378	6.351	3.486	1.432	0.405	-1.676	-2.054	10.000	-0.034	0.034	0.060	3.865	0.433	-0.416	-0.652	0.202	-0.262	-0.667	0.308	-0.410	-0.199	-0.504	0.405	0.265	0.011	-0.308	-0.419	-0.396	0.083	-0.328	-0.379	0.160	0.225	-0.236	0.533	19.40	0.048	9.40	0.085	110.7	0.151	95.4	0.077	78	2.1
Miami (FL)	ACC	1	21	11	0.656	30	0.452	0.498	0.452	0.718	54.545	17.788	18.697	11.000	24.636	35.636	11.788	6.455	3.788	12.636	15.545	69.000	0.674	0.326	0.309	54.545	0.933	0.590	0.729	0.370	0.459	0.473	0.470	0.732	0.798	0.416	0.644	0.718	0.336	0.359	0.544	0.459	0.761	0.396	0.319	0.456	0.046	0.638	0.786	0.419	0.466	0.419	0.739	55.061	19.121	15.818	9.636	21.970	31.606	11.970	5.970	3.061	11.879	16.758	64.100	0.653	0.347	0.305	55.061	1.008	0.182	0.325	0.214	0.282	0.464	0.217	0.148	0.236	0.205	0.114	0.054	0.957	0.362	0.080	0.128	0.236	0.459	0.350	0.735	0.838	0.080	0.068	0.033	0.032	0.033	-0.021	-0.515	-1.333	2.879	1.364	2.667	4.030	-0.182	0.485	0.727	0.758	-1.212	4.900	0.021	-0.021	0.004	-0.515	-0.075	0.407	0.405	0.157	0.177	0.009	0.254	0.584	0.561	0.211	0.530	0.664	-0.621	-0.003	0.464	0.330	0.524	-0.063	-0.031	-0.279	-0.792	0.558	0.718	14.48	0.100	9.57	0.083	106.3	0.365	98.7	0.222	78	1.5
Arkansas	SEC	1	25	9	0.735	31	0.461	0.500	0.461	0.761	60.139	17.722	22.917	11.139	24.917	36.056	13.806	7.722	4.722	11.889	20.528	79.300	0.705	0.295	0.309	60.139	1.161	0.060	0.054	0.251	0.034	0.017	0.444	0.538	0.670	0.308	0.034	0.083	0.066	0.165	0.214	0.171	0.231	0.046	0.077	0.544	0.969	0.054	0.125	0.417	0.467	0.417	0.705	59.972	22.000	23.417	12.778	23.944	36.722	12.611	5.194	3.278	13.250	18.611	73.900	0.633	0.367	0.348	59.972	0.952	0.818	0.926	0.185	0.778	0.889	0.219	0.749	0.892	0.236	0.954	0.954	0.516	0.997	0.752	0.963	0.681	0.339	0.695	0.208	0.231	0.923	0.630	0.044	0.033	0.044	0.056	0.167	-4.278	-0.500	-1.639	0.972	-0.667	1.194	2.528	1.444	-1.361	1.917	5.400	0.072	-0.072	-0.039	0.167	0.209	-0.758	-0.872	0.066	-0.744	-0.872	0.225	-0.211	-0.222	0.071	-0.920	-0.872	-0.450	-0.832	-0.538	-0.792	-0.450	-0.293	-0.618	0.336	0.738	-0.869	-0.504	14.04	0.108	8.60	0.120	110.7	0.154	103.1	0.524	77	1.7
Northwestern	Big Ten	1	23	11	0.676	32	0.436	0.488	0.436	0.747	58.167	20.750	17.694	10.722	25.500	36.222	15.000	5.278	4.861	10.639	19.194	71.100	0.643	0.357	0.296	58.167	1.410	0.234	0.108	0.644	0.239	0.165	0.618	0.396	0.305	0.607	0.476	0.630	0.120	0.245	0.131	0.162	0.120	0.575	0.054	0.160	0.886	0.293	0.664	0.403	0.440	0.403	0.669	56.250	19.389	20.333	11.222	24.194	35.417	11.889	5.722	3.861	11.944	17.778	65.500	0.655	0.345	0.317	56.250	0.995	0.499	0.778	0.066	0.470	0.838	0.046	0.402	0.524	0.265	0.632	0.766	0.074	0.926	0.801	0.892	0.459	0.613	0.929	0.487	0.396	0.507	0.100	0.033	0.048	0.033	0.078	1.917	1.361	-2.639	-0.500	1.306	0.806	3.111	-0.444	1.000	-1.306	1.417	5.600	-0.012	0.012	-0.021	1.917	0.415	-0.265	-0.670	0.578	-0.231	-0.672	0.573	-0.006	-0.219	0.342	-0.157	-0.137	0.046	-0.681	-0.670	-0.729	-0.339	-0.037	-0.875	-0.328	0.490	-0.214	0.564	14.02	0.111	8.43	0.128	106.8	0.330	98.4	0.208	78	1.8
Vanderbilt	SEC	1	19	15	0.559	33	0.430	0.481	0.430	0.777	54.171	26.314	18.857	8.171	26.343	34.514	12.857	4.200	3.800	12.286	16.600	71.100	0.514	0.486	0.237	54.171	1.047	0.578	0.493	0.718	0.960	0.952	0.715	0.028	0.031	0.188	0.274	0.544	0.028	0.829	0.125	0.376	0.439	0.923	0.254	0.564	0.302	0.370	0.655	0.425	0.468	0.425	0.699	57.943	19.114	17.771	9.686	24.857	34.543	11.400	5.514	2.971	10.829	16.771	68.100	0.670	0.330	0.280	57.943	1.053	0.664	0.783	0.293	0.766	0.883	0.245	0.330	0.402	0.322	0.339	0.348	0.433	0.507	0.789	0.721	0.256	0.416	0.405	0.826	0.670	0.553	0.205	0.005	0.013	0.005	0.078	-3.771	7.200	1.086	-1.514	1.486	-0.029	1.457	-1.314	0.829	1.457	-0.171	3.000	-0.156	0.156	-0.044	-3.771	-0.006	-0.085	-0.291	0.425	0.194	0.068	0.470	-0.302	-0.370	-0.134	-0.066	0.197	-0.405	0.322	-0.664	-0.345	0.182	0.507	-0.151	-0.262	-0.368	-0.182	0.450	13.69	0.117	10.72	0.046	105.6	0.416	101.1	0.399	78	1.8
Seton Hall	Big East	0	21	11	0.656	34	0.447	0.496	0.447	0.643	59.061	18.121	22.212	13.303	26.424	39.727	12.273	6.909	2.485	13.606	18.576	73.200	0.693	0.307	0.335	59.061	0.902	0.376	0.350	0.436	0.185	0.154	0.496	0.792	0.769	0.689	0.519	0.291	0.963	0.054	0.313	0.148	0.681	0.254	0.778	0.695	0.487	0.447	0.504	0.433	0.480	0.433	0.719	56.727	19.030	20.515	8.939	24.000	32.939	12.061	7.000	3.455	12.212	19.455	70.400	0.665	0.335	0.271	56.727	0.988	0.450	0.470	0.433	0.564	0.644	0.368	0.208	0.219	0.379	0.615	0.564	0.761	0.197	0.328	0.239	0.254	0.855	0.627	0.667	0.379	0.459	0.362	0.014	0.016	0.014	-0.076	2.333	-0.909	1.697	4.364	2.424	6.788	0.212	-0.091	-0.970	1.394	-0.879	2.800	0.029	-0.029	0.063	2.333	-0.086	-0.074	-0.120	0.003	-0.379	-0.490	0.128	0.584	0.550	0.311	-0.097	-0.274	0.202	-0.142	-0.014	-0.091	0.427	-0.601	0.151	0.028	0.108	-0.011	0.142	12.10	0.142	9.25	0.094	104.9	0.459	100.8	0.379	77	1.8
Michigan State	Big Ten	1	19	14	0.576	35	0.470	0.529	0.470	0.669	55.057	20.914	18.457	9.371	27.057	36.429	16.886	4.314	4.629	14.000	19.971	71.900	0.620	0.380	0.257	55.057	1.206	0.282	0.405	0.137	0.328	0.527	0.142	0.268	0.368	0.205	0.692	0.598	0.806	0.590	0.091	0.208	0.037	0.900	0.100	0.903	0.900	0.339	0.584	0.410	0.442	0.410	0.726	57.914	18.914	20.114	9.971	22.886	32.857	12.743	6.029	3.000	10.857	18.800	68.700	0.673	0.327	0.303	57.914	1.174	0.550	0.781	0.105	0.598	0.886	0.054	0.350	0.365	0.467	0.755	0.684	0.840	0.607	0.385	0.484	0.598	0.698	0.430	0.818	0.285	0.590	0.234	0.060	0.087	0.060	-0.057	-2.857	2.000	-1.657	-0.600	4.171	3.571	4.143	-1.714	1.629	3.143	1.171	3.200	-0.053	0.053	-0.046	-2.857	0.032	-0.268	-0.376	0.031	-0.271	-0.359	0.088	-0.083	0.003	-0.262	-0.063	-0.085	-0.034	-0.017	-0.293	-0.276	-0.561	0.202	-0.330	0.085	0.615	-0.251	0.350	13.67	0.120	10.50	0.048	105.1	0.453	100.4	0.345	76	1.0
Virginia Tech	ACC	1	22	10	0.688	36	0.489	0.546	0.489	0.737	54.939	21.818	22.455	7.273	25.091	32.364	15.061	3.970	2.758	12.061	16.455	79.100	0.603	0.397	0.225	54.939	1.249	0.328	0.692	0.031	0.493	0.798	0.060	0.185	0.416	0.026	0.177	0.271	0.188	0.943	0.473	0.786	0.231	0.977	0.672	0.271	0.123	0.236	0.134	0.445	0.490	0.445	0.717	61.485	22.061	16.788	10.879	23.848	34.727	13.636	5.424	3.909	11.606	19.182	74.700	0.641	0.359	0.313	61.485	1.175	0.823	0.792	0.590	0.778	0.781	0.516	0.761	0.678	0.735	0.145	0.105	0.707	0.684	0.305	0.473	0.641	0.225	0.840	0.789	0.433	0.695	0.678	0.044	0.056	0.044	0.020	-6.545	-0.242	5.667	-3.606	1.242	-2.364	1.424	-1.455	-1.152	0.455	-2.727	4.400	-0.038	0.038	-0.089	-6.545	0.074	-0.496	-0.100	-0.558	-0.285	0.017	-0.456	-0.575	-0.262	-0.709	0.031	0.165	-0.519	0.259	0.168	0.313	-0.410	0.752	-0.168	-0.519	-0.311	-0.459	-0.544	12.77	0.134	8.38	0.137	112.5	0.085	106.2	0.738	77	1.7
Oklahoma State	Big 12	1	20	12	0.625	37	0.467	0.503	0.467	0.789	62.121	22.182	23.818	13.758	23.061	36.818	14.727	7.636	3.000	13.091	22.121	85.700	0.643	0.357	0.374	62.121	1.125	0.123	0.154	0.177	0.217	0.217	0.416	0.162	0.368	0.040	0.043	0.154	0.011	0.031	0.758	0.336	0.259	0.111	0.567	0.587	0.954	0.077	0.014	0.471	0.527	0.471	0.724	56.242	19.424	25.273	10.455	22.364	32.818	13.667	6.455	4.303	14.879	20.697	78.500	0.655	0.345	0.319	56.242	0.919	0.707	0.439	0.926	0.789	0.550	0.889	0.425	0.291	0.795	0.972	0.952	0.818	0.570	0.100	0.228	0.655	0.712	0.943	0.134	0.174	0.877	0.877	-0.004	-0.024	-0.004	0.065	5.879	2.758	-1.455	3.303	0.697	4.000	1.061	1.182	-1.303	-1.788	1.424	7.200	-0.012	0.012	0.055	5.879	0.206	-0.584	-0.285	-0.749	-0.573	-0.333	-0.473	-0.262	0.077	-0.755	-0.929	-0.798	-0.806	-0.538	0.658	0.108	-0.396	-0.601	-0.376	0.453	0.781	-0.801	-0.863	19.18	0.051	12.22	0.011	117.8	0.009	107.9	0.840	76	1.7
Wichita State	Missouri Valley	0	30	4	0.882	38	0.469	0.507	0.469	0.733	58.722	21.361	23.556	12.056	28.833	40.889	16.278	6.528	3.889	11.278	18.778	81.000	0.636	0.364	0.295	58.722	1.443	0.063	0.103	0.140	0.151	0.177	0.382	0.111	0.245	0.023	0.037	0.054	0.219	0.063	0.028	0.014	0.040	0.208	0.202	0.350	0.846	0.037	0.074	0.377	0.419	0.377	0.692	55.556	21.528	19.944	8.917	23.139	32.056	10.361	5.250	3.333	13.556	20.889	62.400	0.613	0.388	0.278	55.556	0.764	0.145	0.744	0.011	0.120	0.595	0.020	0.493	0.840	0.054	0.667	0.732	0.319	0.385	0.587	0.499	0.120	0.356	0.729	0.145	0.028	0.251	0.040	0.092	0.088	0.092	0.041	3.167	-0.167	3.611	3.139	5.694	8.833	5.917	1.278	0.556	-2.278	-2.111	18.600	0.024	-0.024	0.017	3.167	0.679	-0.083	-0.641	0.128	0.031	-0.419	0.362	-0.382	-0.595	-0.031	-0.630	-0.678	-0.100	-0.322	-0.558	-0.484	-0.080	-0.148	-0.527	0.205	0.818	-0.214	0.034	21.24	0.028	2.96	0.268	116.7	0.017	89.9	0.006	77	1.3
